Year,State,Number of CoCs,Overall Homeless
2022,WV,4,"1,375"
2022,WY,1,648
2021,AK,2,"1,949"
2021,AL,8,"2,556"
2021,AR,5,"2,139"
2021,AS,0, 
2021,AZ,3,"5,460"
2021,CA,44,"57,468"
2021,CO,4,"8,544"
2021,CT,2,"2,593"
2021,DC,1,"5,111"
2021,DE,1,"1,579"
2021,FL,27,"21,121"
2021,GA,9,"5,486"
2021,GU,1,199
2021,HI,2,"2,490"
2021,IA,3,"2,534"
2021,ID,2,"1,889"
2021,IL,19,"7,958"
2021,IN,2,"4,975"
2021,KS,5,"1,803"
2021,KY,3,"2,544"
2021,LA,7,"2,131"
2021,MA,12,"15,079"
2021,MD,12,"4,550"
2021,ME,1,"2,063"
2021,MI,20,"6,757"
2021,MN,10,"6,775"
2021,MO,8,"4,926"
2021,MP,1,2
2021,MS,3,626
2021,MT,1,"1,801"
2021,NC,12,"7,249"
2021,ND,1,548
2021,NE,3,"1,935"
2021,NH,3,"1,491"
2021,NJ,16,"8,262"
2021,NM,2,"2,747"
2021,NV,3,"7,090"
2021,NY,24,"78,920"
2021,OH,9,"7,915"
2021,OK,8,"2,694"
2021,OR,8,"9,048"
2021,PA,16,"10,339"
2021,PR,2,439
2021,RI,1,"1,267"
2021,SC,4,"3,207"
2021,SD,1,817
2021,TN,10,"6,823"
2021,TX,11,"17,295"
2021,UT,3,"3,565"
2021,VA,16,"5,812"
2021,VI,1,177
2021,VT,2,"2,591"
2021,WA,6,"11,511"
2021,WI,4,"4,237"
2021,WV,4,"1,138"
2021,WY,1,405
2020,AK,2,"1,949"
2020,AL,8,"3,351"
2020,AR,4,"2,366"
2020,AS,0, 
2020,AZ,3,"10,979"
2020,CA,44,"161,548"
2020,CO,4,"9,846"
2020,CT,2,"2,905"
2020,DC,1,"6,380"
2020,DE,1,"1,165"
2020,FL,27,"27,487"
2020,GA,9,"10,234"
2020,GU,1,790
2020,HI,2,"6,458"
2020,IA,3,"2,647"
2020,ID,2,"2,315"
2020,IL,19,"10,431"
2020,IN,2,"5,625"
2020,KS,5,"2,449"
2020,KY,3,"4,011"
2020,LA,7,"3,173"
2020,MA,13,"17,975"
2020,MD,16,"6,360"
2020,ME,1,"2,097"
2020,MI,20,"8,638"
2020,MN,10,"7,940"
2020,MO,8,"6,527"
2020,MP,1,"1,207"
2020,MS,3,"1,107"
2020,MT,1,"1,545"
2020,NC,12,"9,280"
2020,ND,1,541
2020,NE,3,"2,404"
2020,NH,3,"1,675"
2020,NJ,16,"9,662"
2020,NM,2,"3,333"
2020,NV,3,"6,900"
2020,NY,24,"91,271"
2020,OH,9,"10,655"
2020,OK,8,"3,932"
2020,OR,8,"14,655"
2020,PA,16,"13,375"
2020,PR,2,"2,451"
2020,RI,1,"1,104"
2020,SC,4,"4,287"
2020,SD,1,"1,058"
2020,TN,10,"7,256"
2020,TX,11,"27,229"
2020,UT,3,"3,131"
2020,VA,16,"5,957"
2020,VI,1,304
2020,VT,2,"1,110"
2020,WA,6,"22,923"
2020,WI,4,"4,515"
2020,WV,4,"1,341"
2020,WY,1,612
2019,AK,2,"1,907"
2019,AL,8,"3,261"
2019,AR,5,"2,717"
2019,AS,0, 
2019,AZ,3,"10,007"
2019,CA,44,"151,278"
2019,CO,3,"9,619"
2019,CT,2,"3,033"
2019,DC,1,"6,521"
2019,DE,1,921
2019,FL,27,"28,328"
2019,GA,9,"10,443"
2019,GU,1,875
2019,HI,2,"6,412"
2019,IA,3,"2,315"
2019,ID,2,"2,315"
2019,IL,19,"10,199"
2019,IN,2,"5,471"
2019,KS,5,"2,381"
2019,KY,3,"4,079"
2019,LA,7,"2,941"
2019,MA,15,"18,471"
2019,MD,16,"6,561"
2019,ME,1,"2,106"
2019,MI,21,"8,575"
2019,MN,10,"7,977"
2019,MO,8,"6,179"
2019,MP,1,"1,807"
2019,MS,3,"1,184"
2019,MT,1,"1,357"
2019,NC,12,"9,314"
2019,ND,1,557
2019,NE,3,"2,365"
2019,NH,3,"1,396"
2019,NJ,16,"8,862"
2019,NM,2,"3,241"
2019,NV,3,"7,169"
2019,NY,27,"92,091"
2019,OH,9,"10,345"
2019,OK,8,"3,944"
2019,OR,7,"15,876"
2019,PA,16,"13,199"
2019,PR,2,"2,535"
2019,RI,1,"1,055"
2019,SC,4,"4,172"
2019,SD,1,995
2019,TN,10,"7,467"
2019,TX,11,"25,848"
2019,UT,3,"2,798"
2019,VA,16,"5,783"
2019,VI,1,314
2019,VT,2,"1,089"
2019,WA,6,"21,577"
2019,WI,4,"4,538"
2019,WV,4,"1,397"
2019,WY,1,548
2018,AK,2,"2,016"
2018,AL,8,"3,434"
2018,AR,7,"2,712"
2018,AS,0, 
2018,AZ,3,"9,865"
2018,CA,43,"129,972"
2018,CO,3,"10,857"
2018,CT,2,"3,976"
2018,DC,1,"6,904"
2018,DE,1,"1,082"
2018,FL,27,"31,030"
2018,GA,9,"9,499"
2018,GU,1,854
2018,HI,2,"6,530"
2018,IA,3,"2,749"
2018,ID,2,"2,012"
2018,IL,20,"10,643"
2018,IN,2,"5,258"
2018,KS,5,"2,216"
2018,KY,3,"3,688"
2018,LA,7,"3,059"
2018,MA,15,"20,068"
2018,MD,16,"7,144"
2018,ME,1,"2,516"
2018,MI,21,"8,351"
2018,MN,10,"7,243"
2018,MO,8,"5,883"
2018,MP,1,"1,044"
2018,MS,3,"1,352"
2018,MT,1,"1,405"
2018,NC,12,"9,268"
2018,ND,1,542
2018,NE,3,"2,421"
2018,NH,3,"1,450"
2018,NJ,16,"9,398"
2018,NM,2,"2,551"
2018,NV,3,"7,544"
2018,NY,26,"91,897"
2018,OH,9,"10,249"
2018,OK,8,"3,871"
2018,OR,7,"14,476"
2018,PA,16,"13,512"
2018,PR,2,"3,182"
2018,RI,1,"1,101"
2018,SC,4,"3,933"
2018,SD,1,"1,159"
2018,TN,10,"7,883"
2018,TX,11,"25,310"
2018,UT,3,"2,876"
2018,VA,16,"5,975"
2018,VI,1,486
2018,VT,2,"1,291"
2018,WA,6,"22,304"
2018,WI,4,"4,907"
2018,WV,4,"1,243"
2018,WY,1,639
2017,AK,2,"1,845"
2017,AL,8,"3,793"
2017,AR,6,"2,467"
2017,AS,0, 
2017,AZ,3,"8,947"
2017,CA,43,"131,532"
2017,CO,3,"10,940"
2017,CT,2,"3,388"
2017,DC,1,"7,473"
2017,DE,1,994
2017,FL,27,"32,190"
2017,GA,9,"10,174"
2017,GU,1,852
2017,HI,2,"7,220"
2017,IA,3,"2,756"
2017,ID,2,"2,037"
2017,IL,20,"10,798"
2017,IN,2,"5,438"
2017,KS,5,"2,287"
2017,KY,3,"4,025"
2017,LA,8,"3,305"
2017,MA,15,"17,565"
2017,MD,16,"7,247"
2017,ME,1,"2,280"
2017,MI,21,"9,051"
2017,MN,10,"7,668"
2017,MO,8,"6,037"
2017,MP,1,672
2017,MS,3,"1,472"
2017,MT,1,"1,529"
2017,NC,12,"8,962"
2017,ND,1,"1,089"
2017,NE,3,"2,501"
2017,NH,3,"1,456"
2017,NJ,16,"8,536"
2017,NM,2,"2,482"
2017,NV,3,"7,833"
2017,NY,26,"89,503"
2017,OH,9,"10,095"
2017,OK,8,"4,199"
2017,OR,7,"13,953"
2017,PA,16,"14,138"
2017,PR,2,"3,525"
2017,RI,1,"1,180"
2017,SC,4,"3,916"
2017,SD,1,943
2017,TN,10,"8,309"
2017,TX,11,"23,548"
2017,UT,3,"2,852"
2017,VA,16,"6,067"
2017,VI,1,381
2017,VT,2,"1,225"
2017,WA,7,"21,112"
2017,WI,4,"5,027"
2017,WV,4,"1,309"
2017,WY,1,873
2016,AK,2,"1,940"
2016,AL,8,"4,111"
2016,AR,7,"2,463"
2016,AS,0, 
2016,AZ,3,"9,707"
2016,CA,43,"118,142"
2016,CO,3,"10,550"
2016,CT,2,"3,902"
2016,DC,1,"8,350"
2016,DE,1,"1,070"
2016,FL,27,"33,559"
2016,GA,9,"12,909"
2016,GU,1,"1,085"
2016,HI,2,"7,921"
2016,IA,3,"3,064"
2016,ID,2,"2,247"
2016,IL,20,"11,590"
2016,IN,3,"5,798"
2016,KS,5,"2,255"
2016,KY,3,"4,237"
2016,LA,9,"3,994"
2016,MA,16,"19,608"
2016,MD,16,"7,689"
2016,ME,2,"2,241"
2016,MI,21,"9,316"
2016,MN,10,"7,341"
2016,MO,8,"6,194"
2016,MP,0, 
2016,MS,3,"1,738"
2016,MT,1,"1,418"
2016,NC,12,"9,559"
2016,ND,1,923
2016,NE,3,"2,754"
2016,NH,3,"1,366"
2016,NJ,15,"8,895"
2016,NM,2,"2,263"
2016,NV,3,"7,398"
2016,NY,26,"86,352"
2016,OH,9,"10,404"
2016,OK,8,"4,107"
2016,OR,7,"13,238"
2016,PA,16,"15,339"
2016,PR,2,"4,418"
2016,RI,1,"1,160"
2016,SC,4,"5,051"
2016,SD,1,"1,072"
2016,TN,10,"8,779"
2016,TX,11,"23,122"
2016,UT,3,"2,807"
2016,VA,16,"6,268"
2016,VI,1,341
2016,VT,2,"1,117"
2016,WA,7,"20,827"
2016,WI,4,"5,685"
2016,WV,4,"1,387"
