Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2015,KY,"4,538",861,352,"3,325","1,706","2,823",9,0,"4,403",135,"3,088","1,193",7,38,15,197,591,31,558,2,,579,12,383,182,2,4,2,18
2015,LA,"4,081",581,443,"3,057","1,373","2,694",14,0,"3,982",99,"1,536","2,395",21,50,14,65,392,31,361,0,,387,5,177,200,3,4,1,7
2015,MA,"21,135","8,583","2,047","10,505","10,602","10,528",5,0,"13,720","7,415","11,922","7,175",206,100,144,"1,588","1,133",58,"1,074",1,,"1,021",112,877,192,6,7,9,42
2015,MD,"8,390","1,908",664,"5,818","3,245","5,139",6,0,"7,887",503,"3,016","4,920",58,53,36,307,714,39,675,0,,705,9,280,413,3,6,4,8
2015,ME,"2,372",637,245,"1,490","1,145","1,218",9,0,"2,297",75,"2,036",213,6,25,8,84,151,10,140,1,,149,2,129,14,0,2,0,6
2015,MI,"10,516","2,686","1,224","6,606","4,309","6,203",4,0,"9,986",530,"4,612","5,343",29,79,22,431,"1,067",65,"1,001",1,,"1,048",19,462,560,1,5,4,35
2015,MN,"7,546","2,607",993,"3,946","3,693","3,826",27,0,"6,937",609,"2,641","3,466",117,663,29,630,297,31,266,0,,278,19,192,73,1,17,2,12
2015,MO,"6,482","1,903",678,"3,901","3,051","3,430",1,0,"6,229",253,"3,550","2,565",21,41,26,279,540,38,502,0,,525,15,350,167,2,6,1,14
2015,MP, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2015,MS,"1,983",340,105,"1,538",761,"1,222",0,0,"1,962",21,577,"1,372",2,10,14,8,206,14,192,0,,206,0,88,116,0,1,1,0
2015,MT,"1,709",374,225,"1,110",711,996,2,0,"1,579",130,"1,281",38,0,321,5,64,277,25,252,0,,268,9,241,5,0,21,1,9
2015,NC,"10,685","2,295",841,"7,549","4,185","6,487",13,0,"10,147",538,"4,494","5,711",57,173,17,233,"1,092",79,"1,013",0,,"1,077",15,464,610,1,5,0,12
2015,ND,"1,305",265,152,888,456,843,6,0,"1,215",90,774,232,16,184,5,94,137,3,134,0,,133,4,100,15,1,15,0,6
