Year,State,Overall Homeless,Under 18,Age 18 to 24,Over 24,Female,Male,Transgender,Non-binary,Non-Hispanic/Non-Latin,Hispanic/Latin,White,African American,Asian American,Indigenous,Pacific Islander,Multiple Races,Overall Homeless Veterans,Veterans - Female,Veterans - Male,Veterans - Transgender,Veterans-Non-binary,Veterans - Non-Hispanic/Non-Latin,Veterans - Hispanic/Latin,Veterans - White,Veterans - African American,Veterans - Asian American,Veterans - Indigenous,Veterans - Pacific Islander,Veterans - Multiple Races
2015,NY,88250,31005,8944,48301,41697,46412,141,0,60227,28023,21705,60103,879,822,1368,3373,2399,214,2182,3,0,1901,498,857,1468,12,24,7,31
2015,OH,11182,2241,1082,7859,4349,6817,16,0,10799,383,5532,5084,35,59,18,454,1183,50,1132,1,0,1163,20,633,520,1,4,2,23
2015,OK,3777,691,467,2619,1535,2237,5,0,3528,249,2458,732,7,411,11,158,351,26,325,0,0,338,13,237,63,1,28,4,18
2015,OR,13226,2545,1228,9453,5197,7977,52,0,11681,1545,10704,847,133,599,164,779,1464,153,1306,5,0,1410,54,1226,102,8,54,16,58
2015,PA,15421,4312,1592,9517,6844,8553,24,0,13301,2120,6486,8202,77,77,32,547,1375,174,1200,1,0,1306,69,709,606,8,6,1,45
2015,PR,4518,363,248,3907,1237,3266,15,0,151,4367,1894,717,1,50,17,1839,164,33,131,0,0,9,155,87,20,0,3,1,53
2015,RI,1111,252,89,770,418,691,2,0,831,280,765,287,4,7,2,46,107,4,103,0,0,105,2,81,23,0,1,0,2
2015,SC,5354,782,301,4271,1970,3384,0,0,5216,138,2253,2926,11,43,19,102,681,75,606,0,0,655,26,247,415,0,2,0,17
2015,SD,1036,266,139,631,373,662,1,0,1020,16,403,87,3,524,3,16,177,10,167,0,0,177,0,113,17,0,44,2,1
2015,TN,9123,1625,836,6662,3636,5467,20,0,8931,192,5370,3488,22,66,24,153,945,60,885,0,0,935,10,517,409,2,3,1,13
2015,TX,23678,4529,1712,17437,9038,14575,65,0,16750,6928,13713,8603,145,424,104,689,2393,449,1941,3,0,2005,388,1345,899,14,58,8,69
2015,UT,3025,764,199,2062,1176,1842,7,0,2365,660,2359,311,35,128,74,118,337,17,320,0,0,303,34,292,26,4,9,2,4
2015,VA,7001,1769,576,4656,2803,4191,7,0,6517,484,2703,3761,110,62,17,348,604,83,521,0,0,575,29,234,346,0,7,1,16
2015,VI,337,19,14,304,82,255,0,0,308,29,42,260,2,8,0,25,34,1,33,0,0,32,2,6,26,0,1,0,1
2015,VT,1523,356,180,987,668,853,2,0,1476,47,1363,134,3,5,3,15,119,5,114,0,0,115,4,107,10,0,2,0,0
2015,WA,19419,4162,1881,13376,7457,11896,66,0,16681,2738,11860,4095,369,871,491,1733,1293,91,1197,5,0,1210,83,893,260,18,51,8,63
2015,WI,6057,1987,550,3520,2748,3304,5,0,5544,513,3276,2153,55,224,44,305,534,36,498,0,0,520,14,369,142,0,9,0,14
2015,WV,1835,268,171,1396,626,1208,1,0,1796,39,1495,289,1,9,3,38,305,28,276,1,0,298,7,229,68,0,1,0,7
2015,WY,798,187,59,552,295,503,0,0,669,129,628,30,0,97,1,42,112,4,108,0,0,103,9,91,3,0,12,1,5
2016,AK,1940,274,173,1493,808,1127,5,0,1797,143,739,147,44,786,53,171,168,12,156,0,0,165,3,77,20,0,61,0,10
2016,AL,4111,681,304,3126,1733,2366,12,0,4027,84,1714,2251,4,49,8,85,373,18,355,0,0,371,2,177,187,0,3,1,5
2016,AR,2463,432,197,1834,1047,1415,1,0,2377,86,1451,894,10,21,8,79,222,19,202,1,0,218,4,126,87,0,5,3,1
2016,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,AZ,9707,2022,733,6952,3685,6005,17,0,7342,2365,6562,1792,53,809,67,424,1036,81,950,5,0,909,127,773,158,4,64,3,34
2016,CA,118142,12828,12160,93154,39175,78121,846,0,85437,32705,67669,32434,1836,4179,1284,10740,9612,807,8673,132,0,7971,1641,5727,2572,103,347,78,785
2016,CO,10550,2327,983,7240,4103,6393,54,0,7603,2947,7239,1882,78,527,61,763,1181,124,1056,1,0,1021,160,869,217,4,45,6,40
2016,CT,3902,831,203,2868,1458,2440,4,0,2796,1106,2095,1535,32,54,73,113,216,16,199,1,0,184,32,115,93,1,3,2,2
2016,DC,8350,2732,920,4698,3802,4512,36,0,7916,434,439,7689,35,38,16,133,350,50,300,0,0,343,7,48,294,2,5,1,0
2016,DE,1070,196,69,805,411,658,1,0,1011,59,406,617,1,1,3,42,107,5,102,0,0,105,2,38,65,0,0,2,2
2016,FL,33559,6140,2238,25181,11789,21740,30,0,28855,4704,19369,12594,116,294,73,1113,2902,207,2686,9,0,2705,197,1845,950,3,31,5,68
2016,GA,12909,2237,907,9765,4507,8376,26,0,12266,643,3822,8571,54,64,51,347,1055,121,934,0,0,1030,25,358,655,1,5,0,36
2016,GU,1085,470,103,512,529,555,1,0,1061,24,11,4,17,0,1033,20,21,0,21,0,0,18,3,3,3,0,0,15,0
2016,HI,7921,1941,531,5449,3243,4641,37,0,6989,932,1820,269,396,114,3374,1948,670,55,613,2,0,602,68,271,62,43,16,137,141
2016,IA,3064,1013,285,1766,1403,1659,2,0,2766,298,1869,898,18,73,5,201,170,14,156,0,0,164,6,125,34,2,5,1,3
2016,ID,2247,578,195,1474,966,1278,3,0,1976,271,1928,76,9,133,23,78,267,16,250,1,0,255,12,239,9,0,13,2,4
2016,IL,11590,2892,1130,7568,4746,6813,31,0,10341,1249,4214,6858,123,54,18,323,949,67,882,0,0,898,51,350,581,0,7,1,10
2016,IN,5798,1319,448,4031,2414,3375,9,0,5577,221,3587,1911,24,41,17,218,663,44,619,0,0,648,15,415,226,5,4,3,10
2016,KS,2255,639,115,1501,992,1262,1,0,2019,236,1505,513,18,65,2,152,169,32,137,0,0,151,18,110,49,1,5,1,3
2016,KY,4237,787,330,3120,1575,2656,6,0,4068,169,2895,1103,3,30,18,188,512,35,477,0,0,501,11,346,159,0,1,0,6
2016,LA,3994,608,405,2981,1337,2648,9,0,3813,181,1482,2319,12,30,10,141,400,18,381,1,0,392,8,173,209,0,1,1,16
2016,MA,19608,7764,1492,10352,9446,10145,17,0,12660,6948,11029,6154,129,80,83,2133,949,67,877,5,0,871,78,733,141,1,7,6,61
2016,MD,7689,1705,463,5521,2922,4760,7,0,6970,719,2688,4620,34,55,19,273,555,28,526,1,0,540,15,202,341,0,2,1,9
2016,ME,2241,580,201,1460,1007,1231,3,0,2171,70,1872,237,9,42,5,76,146,12,133,1,0,145,1,129,9,1,1,0,6
2016,MI,9316,2381,956,5979,3854,5446,16,0,8792,524,4112,4637,31,89,33,414,822,44,778,0,0,803,19,365,426,0,5,2,24
2016,MN,7341,2563,934,3844,3481,3841,19,0,6663,678,2780,3306,82,709,72,392,279,17,261,1,0,270,9,162,90,4,15,3,5
2016,MO,6194,1676,614,3904,2864,3324,6,0,5932,262,3457,2312,23,108,18,276,575,46,529,0,0,560,15,315,241,1,10,1,7
2016,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,MS,1738,266,114,1358,712,1014,12,0,1718,20,647,1054,7,22,3,5,144,11,133,0,0,139,5,70,70,0,3,1,0
2016,MT,1418,350,123,945,599,818,1,0,1306,112,877,25,1,366,6,143,165,16,149,0,0,158,7,127,2,0,23,0,13
2016,NC,9559,1994,650,6915,3774,5773,12,0,9127,432,3974,5072,31,145,15,322,888,78,808,2,0,879,9,430,416,2,14,2,24
2016,ND,923,154,86,683,331,590,2,0,844,79,510,129,5,218,1,60,116,8,108,0,0,115,1,71,7,1,37,0,0
2016,NE,2754,590,258,1906,980,1771,3,0,2392,362,1858,570,11,67,6,242,219,4,215,0,0,212,7,162,43,1,3,0,10
2016,NH,1366,321,139,906,601,762,3,0,1247,119,1183,94,2,3,2,82,123,6,117,0,0,120,3,114,7,0,0,0,2
2016,NJ,8895,2086,850,5959,3738,5148,9,0,7099,1796,3835,4682,56,79,53,190,556,36,520,0,0,505,51,243,294,6,5,0,8
2016,NM,2263,529,210,1524,848,1404,11,0,1386,877,1273,181,18,576,16,199,214,15,198,1,0,177,37,148,22,1,33,1,9
2016,NV,7398,639,1424,5335,1851,5541,6,0,6448,950,4329,2196,189,167,132,385,851,105,746,0,0,767,84,534,238,15,19,13,32
2016,NY,86352,30122,8816,47414,41147,44980,225,0,47224,39128,19365,55779,945,659,1208,8396,1248,93,1154,1,0,1079,169,583,628,6,9,5,17
2016,OH,10404,2229,944,7231,4046,6337,21,0,10071,333,5176,4632,38,50,9,499,930,56,872,2,0,915,15,499,400,3,10,1,17
2016,OK,4107,764,427,2916,1615,2490,2,0,3893,214,2504,880,25,539,7,152,358,27,331,0,0,345,13,233,80,0,36,0,9
2016,OR,13238,2566,1188,9484,5286,7893,59,0,11820,1418,10733,839,85,559,146,876,1341,144,1191,6,0,1268,73,1122,84,2,62,14,57
2016,PA,15339,4342,1488,9509,6593,8708,38,0,13662,1677,6647,7899,63,61,27,642,1136,85,1051,0,0,1093,43,650,453,6,4,0,23
2016,PR,4418,377,228,3813,1227,3178,13,0,118,4300,1909,738,4,51,14,1702,146,8,138,0,0,9,137,76,20,1,3,0,46
2016,RI,1160,195,89,876,421,738,1,0,924,236,767,291,15,17,3,67,89,3,86,0,0,80,9,66,17,0,0,0,6
2016,SC,5051,820,325,3906,1791,3257,3,0,4924,127,2159,2626,21,28,17,200,738,82,656,0,0,729,9,319,394,1,3,1,20
2016,SD,1072,329,128,615,456,616,0,0,1026,46,322,72,2,624,5,47,120,10,110,0,0,116,4,52,11,0,52,0,5
2016,TN,8779,1298,543,6938,3060,5700,19,0,8541,238,5140,3363,23,47,15,191,831,176,653,2,0,825,6,419,394,1,0,1,16
2016,TX,23122,4615,1596,16911,9334,13739,49,0,17180,5942,12795,8143,233,843,79,1029,1768,166,1601,1,0,1577,191,955,722,10,17,5,59
2016,UT,2807,638,179,1990,1043,1757,7,0,2223,584,2239,242,29,147,32,118,335,21,312,2,0,308,27,287,26,3,10,1,8
2016,VA,6268,1432,478,4358,2561,3700,7,0,5707,561,2545,3337,84,37,11,254,515,56,459,0,0,506,9,225,265,0,3,1,21
2016,VI,341,22,8,311,80,261,0,0,304,37,51,257,1,6,1,25,32,1,31,0,0,31,1,5,26,0,0,0,1
2016,VT,1117,263,125,729,474,640,3,0,1040,77,968,88,6,12,0,43,110,5,105,0,0,108,2,100,6,0,2,0,2
2016,WA,20827,4038,1767,15022,7992,12781,54,0,17864,2963,12298,4069,470,1123,485,2382,1484,133,1341,10,0,1389,95,913,349,18,61,10,133
2016,WI,5685,1809,558,3318,2592,3083,10,0,5211,474,3030,2041,45,204,13,352,415,19,396,0,0,400,15,299,97,0,7,0,12
2016,WV,1387,220,110,1057,481,906,0,0,1369,18,1112,216,1,6,1,51,143,7,136,0,0,141,2,105,31,0,1,0,6
2016,WY,857,195,61,601,338,518,1,0,736,121,660,39,2,128,0,28,87,2,85,0,0,82,5,67,7,0,9,0,4
2017,AK,1845,305,186,1354,765,1075,4,1,1743,102,641,147,20,770,69,198,124,6,118,0,0,119,5,55,11,0,47,1,10
2017,AL,3793,528,300,2965,1314,2453,21,5,3721,72,1587,2064,9,21,1,111,269,18,250,0,1,264,5,128,138,0,1,0,2
2017,AR,2467,265,209,1993,965,1499,3,0,2405,62,1447,892,9,24,7,88,239,37,202,0,0,235,4,134,91,2,3,0,9
2017,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,AZ,8947,1607,660,6680,3331,5592,22,2,6876,2071,6086,1611,51,704,46,449,970,87,880,2,1,862,108,716,152,6,51,4,41
2017,CA,131532,14207,13276,104049,42750,87609,793,380,90040,41492,68784,42282,2490,5663,1459,10854,11436,1077,10279,47,33,9522,1914,6257,3453,212,562,134,818
2017,CO,10940,2164,913,7863,4014,6866,37,23,8142,2798,7778,1788,51,546,45,732,1078,96,974,3,5,944,134,767,206,3,54,3,45
2017,CT,3388,736,259,2393,1313,2054,8,13,2415,973,1752,1343,34,22,43,194,191,15,176,0,0,170,21,103,79,3,2,1,3
2017,DC,7473,2286,682,4505,3226,4209,36,2,6979,494,481,6712,40,25,21,194,285,25,258,2,0,277,8,33,239,0,3,3,7
2017,DE,994,240,69,685,431,562,1,0,912,82,398,544,4,1,5,42,91,9,82,0,0,90,1,44,44,1,0,0,2
2017,FL,32190,5624,2599,23967,11311,20721,78,80,27442,4748,18593,11954,122,278,109,1134,2817,252,2563,1,1,2593,224,1871,851,5,26,5,59
2017,GA,10174,1646,697,7831,3878,6239,53,4,9752,422,2805,6902,37,73,19,338,712,137,574,1,0,690,22,208,470,2,4,1,27
2017,GU,852,350,84,418,409,442,1,0,813,39,15,3,39,0,762,33,24,5,19,0,0,18,6,2,2,1,0,16,3
2017,HI,7220,1575,497,5148,2951,4241,23,5,6255,965,1594,255,656,106,2901,1708,615,57,556,2,0,548,67,239,71,73,10,125,97
2017,IA,2756,829,240,1687,1186,1565,4,1,2551,205,1654,795,19,74,13,201,171,16,154,1,0,164,7,126,31,1,5,1,7
2017,ID,2037,443,153,1441,809,1221,6,1,1769,268,1795,75,17,60,15,75,228,16,211,1,0,218,10,203,4,2,8,3,8
2017,IL,10798,2455,1106,7237,4391,6372,31,4,9739,1059,3916,6375,78,68,20,341,864,48,816,0,0,827,37,302,535,2,5,1,19
