Year,State,State name,Overall Homeless,Population,Percent of Population
2017,OR,Oregon,13953,4143625,0.0034
2017,PA,Pennsylvania,14138,12787641,0.0011
2017,RI,Rhode Island,1180,1055673,0.0011
2017,SC,South Carolina,3916,5021268,0.0008
2017,SD,South Dakota,943,872868,0.0011
2017,TN,Tennessee,8309,6708799,0.0012
2017,TX,Texas,23548,28295273,0.0008
2017,UT,Utah,2852,3101042,0.0009
2017,VA,Virginia,6067,8463587,0.0007
2017,VT,Vermont,1225,624344,0.002
2017,WA,Washington,21112,7423362,0.0028
2017,WI,Wisconsin,5027,5790186,0.0009
2017,WV,West Virginia,1309,1817004,0.0007
2017,WY,Wyoming,873,578931,0.0015
2016,AK,Alaska,1940,741456,0.0026
2016,AL,Alabama,4111,4863525,0.0008
2016,AR,Arkansas,2463,2989918,0.0008
2016,AZ,Arizona,9707,6941072,0.0014
2016,CA,California,118142,39167117,0.003
2016,CO,Colorado,10550,5539215,0.0019
2016,CT,Connecticut,3902,3578141,0.0011
2016,DC,District of Columbia,8350,685815,0.0122
2016,DE,Delaware,1070,948921,0.0011
2016,FL,Florida,33559,20613477,0.0016
2016,GA,Georgia,12909,10301890,0.0013
2016,HI,Hawaii,7921,1427559,0.0055
2016,IA,Iowa,3064,3131371,0.001
2016,ID,Idaho,2247,1682380,0.0013
2016,IL,Illinois,11590,12820527,0.0009
2016,IN,Indiana,5798,6634304,0.0009
2016,KS,Kansas,2255,2910844,0.0008
2016,KY,Kentucky,4237,4438182,0.001
2016,LA,Louisiana,3994,4678135,0.0009
2016,MA,Massachusetts,19608,6823608,0.0029
2016,MD,Maryland,7689,6003323,0.0013
2016,ME,Maine,2241,1331317,0.0017
2016,MI,Michigan,9316,9950571,0.0009
2016,MN,Minnesota,7341,5522744,0.0013
2016,MO,Missouri,6194,6087135,0.001
2016,MS,Mississippi,1738,2987938,0.0006
2016,MT,Montana,1418,1040859,0.0014
2016,NC,North Carolina,9559,10154788,0.0009
2016,ND,North Dakota,923,754434,0.0012
2016,NE,Nebraska,2754,1905616,0.0014
2016,NH,New Hampshire,1366,1342307,0.001
2016,NJ,New Jersey,8895,8870827,0.001
2016,NM,New Mexico,2263,2091630,0.0011
2016,NV,Nevada,7398,2917563,0.0025
2016,NY,New York,86352,19633428,0.0044
2016,OH,Ohio,10404,11634370,0.0009
2016,OK,Oklahoma,4107,3926331,0.001
2016,OR,Oregon,13238,4089976,0.0032
2016,PA,Pennsylvania,15339,12782275,0.0012
2016,RI,Rhode Island,1160,1056770,0.0011
2016,SC,South Carolina,5051,4957968,0.001
2016,SD,South Dakota,1072,862996,0.0012
2016,TN,Tennessee,8779,6646010,0.0013
2016,TX,Texas,23122,27914410,0.0008
2016,UT,Utah,2807,3041868,0.0009
2016,VA,Virginia,6268,8410106,0.0007
2016,VT,Vermont,1117,623657,0.0018
2016,WA,Washington,20827,7294771,0.0029
2016,WI,Wisconsin,5685,5772628,0.001
2016,WV,West Virginia,1387,1831023,0.0008
2016,WY,Wyoming,857,584215,0.0015
2015,AK,Alaska,1956,737498,0.0027
2015,AL,Alabama,3970,4852347,0.0008
2015,AR,Arkansas,2560,2978048,0.0009
2015,AZ,Arizona,9896,6829676,0.0014
2015,CA,California,115738,38918045,0.003
2015,CO,Colorado,9953,5450623,0.0018
2015,CT,Connecticut,4047,3587122,0.0011
2015,DC,District of Columbia,7298,675400,0.0108
2015,DE,Delaware,953,941252,0.001
2015,FL,Florida,35900,20209042,0.0018
2015,GA,Georgia,13790,10178447,0.0014
2015,HI,Hawaii,7620,1422052,0.0054
2015,IA,Iowa,3081,3120960,0.001
2015,ID,Idaho,1966,1651059,0.0012
2015,IL,Illinois,13177,12858913,0.001
2015,IN,Indiana,5863,6608422,0.0009
2015,KS,Kansas,2588,2909011,0.0009
2015,KY,Kentucky,4538,4425976,0.001
2015,LA,Louisiana,4081,4664628,0.0009
2015,MA,Massachusetts,21135,6794228,0.0031
2015,MD,Maryland,8390,5985562,0.0014
2015,ME,Maine,2372,1328262,0.0018
2015,MI,Michigan,10516,9931715,0.0011
2015,MN,Minnesota,7546,5482032,0.0014
2015,MO,Missouri,6482,6071732,0.0011
2015,MS,Mississippi,1983,2988471,0.0007
2015,MT,Montana,1709,1030475,0.0017
2015,NC,North Carolina,10685,10031646,0.0011
2015,ND,North Dakota,1305,754066,0.0017
2015,NE,Nebraska,2744,1891277,0.0015
2015,NH,New Hampshire,1445,1336350,0.0011
2015,NJ,New Jersey,10098,8867949,0.0011
2015,NM,New Mexico,2629,2089291,0.0013
2015,NV,Nevada,8743,2866939,0.003
2015,NY,New York,88250,19654666,0.0045
2015,OH,Ohio,11182,11617527,0.001
2015,OK,Oklahoma,3777,3909500,0.001
2015,OR,Oregon,13226,4015792,0.0033
2015,PA,Pennsylvania,15421,12784826,0.0012
2015,RI,Rhode Island,1111,1056065,0.0011
2015,SC,South Carolina,5354,4891938,0.0011
2015,SD,South Dakota,1036,853988,0.0012
2015,TN,Tennessee,9123,6591170,0.0014
2015,TX,Texas,23678,27470056,0.0009
2015,UT,Utah,3025,2981835,0.001
2015,VA,Virginia,7001,8361808,0.0008
2015,VT,Vermont,1523,625216,0.0024
2015,WA,Washington,19419,7163657,0.0027
2015,WI,Wisconsin,6057,5760940,0.0011
2015,WV,West Virginia,1835,1842050,0.001
2015,WY,Wyoming,798,585613,0.0014
2014,AK,Alaska,1784,736283,0.0024
2014,AL,Alabama,4561,4841799,0.0009
2014,AR,Arkansas,2936,2967392,0.001
2014,AZ,Arizona,10495,6730413,0.0016
2014,CA,California,113952,38596972,0.003
2014,CO,Colorado,10028,5350101,0.0019
2014,CT,Connecticut,4450,3594524,0.0012
2014,DC,District of Columbia,7748,662328,0.0117
2014,DE,Delaware,901,932487,0.001
2014,FL,Florida,41542,19845911,0.0021
2014,GA,Georgia,16521,10067278,0.0016
2014,HI,Hawaii,6918,1414538,0.0049
2014,IA,Iowa,3122,3109350,0.001
2014,ID,Idaho,2104,1631112,0.0013
2014,IL,Illinois,13107,12884493,0.001
2014,IN,Indiana,5971,6593644,0.0009
2014,KS,Kansas,2783,2900475,0.001
2014,KY,Kentucky,5089,4414349,0.0012
2014,LA,Louisiana,4606,4644013,0.001
2014,MA,Massachusetts,21237,6762596,0.0031
2014,MD,Maryland,7856,5957283,0.0013
2014,ME,Maine,2726,1330513,0.002
2014,MI,Michigan,12227,9929848,0.0012
2014,MN,Minnesota,8377,5451079,0.0015
2014,MO,Missouri,7282,6056202,0.0012
2014,MS,Mississippi,2226,2990468,0.0007
2014,MT,Montana,1745,1021869,0.0017
2014,NC,North Carolina,11491,9932887,0.0012
2014,ND,North Dakota,1258,737401,0.0017
2014,NE,Nebraska,3026,1879321,0.0016
2014,NH,New Hampshire,1376,1333341,0.001
